Продукт,Новая цена,Старая цена,Процент скидки 
"ДАРЛИНГ Корм д/кош сух мясо овощи 1,75кг пачка (Нестле):7",361.99,459.99,-21%
"Готовый завтрак ХРУТКА, Колечки шоколадные, 210г",119.99,154.99,-23%
ГОРЯЧАЯ ШТУЧКА Пекерсы с индейкой слив/соус 250г(МясГал):12,109.9,219.8,
"Горчица зернистая МАХЕЕВЪ, 190г ",59.99,99.99,-40%
ВОСТОЧНЫЙ ГОСТЬ Фисташка жар солен 150г фл/п (ТД-холдинг):6,249.99,319.99,-22%
ВОЛОГОДСКИЙ Пастила творожн 200г к/уп(Кондитерск фабрика):10,169.99,214.99,-21%
"Вода СВЯТОЙ ИСТОЧНИК Светлячок, 330мл",35.99,44.99,-20%
"Вода питьевая РУЧЕЕК Долина родников газированная, 1,5л",31.99,39.99,-20%
"Вода питьевая ЖЕМЧУЖИНА БАЙКАЛА, Негазированная, Спорт, 500мл",54.99,74.99,-27%
"Вода питьевая БОН АКВА, газированная, 500мл",47.99,55.99,-14%
ВКУСНАЯ СОЛЬ Соль экстра 7 блюд 400г пл/бан(ПродЛогистика):6,89.99,111.99,-20%
БОН ПАРИ Мармелад жевательн Веселые Кошмарики 75г(Нестле):15,49.9,99.8,
"Блины МОРОЗКО, с мясом, 420г",119.9,239.8,
"Блинчики С ПЫЛУ С ЖАРУ, с мясом, 360г",99.9,199.8,
"БЛАГО Масло подсолнечное растит нераф 0,65л п/бут(Благо):20",79.99,128.99,-38%
"БАВАРИЯ Пиво светлое фильтр 4,5% 0,45л (Агрофирма):20",51.99,63.99,-19%
"БАВАРИЯ Напиток Тархун газ 0,5л ст/б(Агрофирма Фат):12",55.99,69.99,-20%
"БАВАРИЯ PREMIUM Напиток газ Фейхоа0,5л ст/бут (Агрофирма):12",59.99,75.99,-21%
АППЕТИССИМО Желе Мандарин в желе 150г пл/ст(Преображен):12,49.99,64.99,-23%
АГРО-АЛЬЯНС Рис Кубанский элитный 1с 900г (Агро-Альянс):6,109.99,152.99,-28%
"АВИСТРОН Икра сельди ястыч в масле классич (в):1,4",639.99,726.79,-12%
"АВИСТРОН Икра Минтая сол 1сорт нат (в)(Авистрон):1,4",569.99,635.79,-10%
YELLI Гарниры в асс 250г м/уп(ТД Ярмарка):12,139.99,229.99,-39%
"STREET Напиток газ б/а 0,5л пл/бут:12",59.99,73.99,-19%
SOLONINA Пивное ассорти 140 г пл/в (ЮСК) :10,139.99,159.99,-13%
SOLONINA Кальмар стружка сушено-вяленый 70г п/уп:10,104.99,119.99,-13%
SOLO NINA Кальмар стружка солено-сушеный(в)(Россия):3,1229.99,1599.99,-23%
"PURINA ONE Сухой корм для собак сухой говядина рис 1,5кг:6",379.99,539.99,-30%
"PURINA ONE Здор вес сух корм д/соб мин ин/рис1,5кг(Нестле):6",379.99,539.99,-30%
"PURINA ONE Актив сух.корм д/соб мини кур/рис1,5кг(Нестле):6",379.99,539.99,-30%
"POWERCELL Напиток энерг б/а газ 0,45л ж/б(Фудвэй):12",99.99,119.99,-17%
"POWERCELL Cherry Напиток энерг б/а газ 0,45л ж/б(Фудвэй):12",99.99,119.99,-17%
PESCATORE FRANCESCO Пресервы Мидии в масле пл/б 180 г:6,129.99,178.99,-27%
PEDIGREE Корм д/соб мал пор паштет курица 80г(Марс):28,19.99,26.99,-26%
PEDIGREE Корм д/соб мал пор паштет говядина 80г(Марс):28,19.99,26.99,-26%
PEDIGREE Корм д/собак телятина и печень в желе 85г:28,19.99,23.99,-17%
PEDIGREE Корм д/собак мини пород гов/овощи 85г(Марс):28,19.99,26.99,-26%
PEDIGREE Корм д/собак влажн курица 85г(Марс):28,19.99,23.99,-17%
PEDIGREE Корм д/собак влажн кролик/ индейка 85г(Марс):28,19.99,23.99,-17%
PEDIGREE Корм д/собак влажн говядина/ ягненок 85г(Марс):28,19.99,23.99,-17%
PEDIGREE Корм д/собак влажн говядина 85г(Марс):28,19.99,23.99,-17%
PEDIGREE Корм для собак ягненок в желе 85г:28,19.99,23.99,-17%
MIVIMEX Соевый соус Микс чили/чеснок 200г пл/бут (БиоФуд):15,54.99,69.99,-21%
MIVIMEX Жгучий чили соус Кавказский 200г пл/бут (БиоФуд):15,54.99,64.99,-15%
MAKFA макаронные изделия Кольца в/с 400г фл/п:20,54.99,83.99,-35%
MAKFA Макаронные изделия Бантики 400г (Макфа):20,47.99,83.99,-43%
"KNORR Чашка Супа Сырный с сухариками 15,6г (Юнилевер) :30",19.99,29.99,-33%
KNORR Чашка Супа Куриный с сухариками 16г (Юнилевер) :30,19.99,29.99,-33%
JARDIN Guatemala atitlan Кофе раствор 190г ст/бан(Орими):6,409.99,809.99,-49%
JARDIN Gold Кофе раствор сублим 95г ст/бан(Орими):12,209.99,417.99,-50%
"HAAS Ванилин 1,5г бум/пак(Пец-Хаас):120",4.8,7.2,
GRABBS Чипсы со вкусом сыр 100г:16,86.99,99.99,-13%
"FANCY Напиток газ б/а 0,5л пл/бут:12",59.99,73.99,-19%
"DR.KORNER Хлебцы Рисовые с морской солью 0,1кг(Хлебпром):20",99.99,112.99,-12%
"DR.KORNER Хлебцы Злаковый коктейль с медом 0,1кг(Хлебпр):20",69.99,77.89,-10%
DR.KORNER Корнерсы цельноз томат и базилик 50г фл/п:14,49.99,63.99,-22%
DR.KORNER Корнерсы цельноз нежн сыр 50г фл/п(Хлебпром):14,49.99,63.99,-22%
DREAMIES Лакомство д/кош сыр 140г пауч (Марс):12,134.99,159.99,-16%
DREAMIES Лакомство д/кош подушечки c курицей 140г(Марс):12,134.99,159.99,-16%
DREAMIES Лакомство д/кош подушечки c говядиной 140г(Марс):12,134.99,159.99,-16%
DR. BAKERS Сахар с натур ванилью 15г(Д-р Бейкерс):45,29.99,39.99,-25%
"CRAFT Нап шалф можж ягод кард б/а 0,33л ст/бут (Бобимэкс):12",84.99,124.99,-32%
"CRAFT Нап малина имбирь корица б/а0,33л ст/бут (Бобимэкс):12",84.99,124.99,-32%
"COOL COLA Напиток сильногазированный 0,5л (Очаково):12",59.99,73.99,-19%
"COOL COLA Напиток б/а Zero сил/газ пл/бут 0,5л (Очаково):12",59.99,73.99,-19%
"COOL COLA Напиток б/а Cherry сил/газ пл/бут 0,5л(Очаково):12",59.99,73.99,-19%
BINGGRAE Чипсы Вкус Краба 50г фл/п(ВСК):24,66.99,85.99,-22%
BIG BON Лапша в контейн. курица+соус сальса 85г(Маревен):24,42.99,66.99,-36%
Щавель 100г,,,
"Чипсы SUPER Шашлык, 70 г",69.99,99.99,-30%
"Чипсы SUPER Краб, 70 г",69.99,99.99,-30%
"Чипсы SUPER Васаби, 70 г",69.99,99.99,-30%
"Чипсы LAYS Утка по-пекински, 125 г",149.99,199.99,-25%
"Чипсы LAYS Том Ям по-тайски, 125 г",149.99,199.99,-25%
"Чипсы LAYS Гуакамоле по-мексикански, 125 г",149.99,199.99,-25%
ЧЕРЕШНЯ 1кг,,,
Чай черный готовый,,,
Чай зеленый готовый,,,
"Чай LIPTON холодный зеленый, 0,5 л ",,,
Фестиваль средиземноморской кухни,,,
"«Улитка» греческая со шпинатом и сыром, 0,13 кг ",,,
"Тунец КАПИТАН ВКУСОВ для салатов в собственном соку, 170 г ",124.99,149.99,-17%
"Торт бисквитный Нежный, 800 г",,,-40%
"Соус соевый SEN SOY PREMIUM Терияки сладкийдля обжаривания, 320 г",174.99,209.99,-17%
"Соус SEN SOY соевый классический, 1 л ",159.99,199.99,-20%
"Соус SEN SOY Премиум соевый Террияки, 220 мл",114.99,149.99,-23%
"Соус SEN SOY Премиум соевый классический, 220 мл ",114.99,139.99,-18%
"Соус HEINZ Терияки, 200 г ",99.99,143.19,-30%
"Соус CENTO PERCENTO бальзамический, 295 г ",279.99,329.99,-15%
"Соль KOTANYI Мельница морская йодированная, 92 г ",199.99,309.99,-35%
"Сок J7 Апельсиновый с мякотью, 0,3 л ",,,
СЛИВА Восточная 1 кг,,,
Скидки до 40% в июне,,,
Скидка 20% на выпечку при покупке напитка,,,
"Роллини греческие с говядиной соусом болоньезе и картофелем, 100 г",,,
"Рис НАЦИОНАЛЬ Лазер длиннозерный, 800 г",129.99,149.99,-13%
"Рис НАЦИОНАЛЬ Бальдо среднезерный, 800 г",139.99,159.99,-13%
"Приправа Итальянские травы KOTANYI, 14 г",59.99,79.99,-25%
"Приправа MAGGI Итальянские травы, 20 г ",54.99,74.99,-27%
"Приправа KOTANYI Томаты с чесноком, 20 г ",62.99,89.99,-30%
"Приправа KOTANYI Средиземномор кухня, 41 г ",199.99,309.99,-35%
"Приправа KOTANYI Мельница чеснок-травы-соль, 50 г ",199.99,299.99,-33%
"Приправа KOTANYI Мельница итальянские травы, 48 г ",199.99,299.99,-33%
"Пирожок печёный «Самса» с мясной начинкой, 100 г ",,,
"Пирожок печеный «Сосиска в тесте», 0,13 кг",,,
"Пирог «Хачапури» из слоёного бездрожжевого теста, 0,107 кг ",,,
ПЕРСИКИ 1кг,,,
"Паприка KOTANYI копченая молотая, 25 г ",62.99,89.99,-30%
"Окунь морской (изготовлен из мороженого сырья), 1 кг",,,-40%
НЕКТАРИНЫ 1 кг,,,
"Напиток EVERVESS  Кола без сахара, 0,5 л ",,,
"Набор для окрошки (с курицей), 1 кг",,,-29%
"Мясо АКВАМАРИН криля натуральное, 105 г",199.99,239.99,-17%
"Макароны PASTERONI №187 Рожки витые, 400 г",69.99,109.99,-36%
"Макароны PASTERONI №128 Конкилье Ригате, 400 г",69.99,109.99,-36%
"Макароны PASTERONI №125 Спиральки, 800 г",,,
"Макароны PASTERONI №114 Спагетти, 800 г",,,
"Макаронные изделия LA MOLISANA Бантики, 450 г ",149.99,259.99,-42%
"Макаронные изделия LA MOLISANA Bucatini, 500 г ",199.99,279.99,-29%
"Макаронные изделия LA MOLISANA, 500 г ",209.99,289.99,-28%
"Макаронные изделия BARILLA Спагетти, 500 г/450 г ",169.99,229.99,-26%
"Лаваш Кавказский, 350 г",,,-37%
"Круассан с шоколадной начинкой, 0,06 кг",,,
Кофе Эспрессо зерновой готовый,,,
"Кофе Двойной Эспрессо зерновой, 100 мл ",,,
"Кофе Американо Большой зерновой, 230 мл ",,,
"Котлеты из свинины, 1 кг",,,-33%
"«Косичка греческая» с начинкой из мяса кур и овощей, 0,16 кг",,,
"Конфеты TRUFFLE MILK трюфель молочный, 0,2 кг",74.99,99.99,-26%
"Конфеты SWEETLIFE Imperio амаретто, бейлиз, изабелла, шоколадный ликер",201.99,,
"Колбаски По-домашнему, 1 кг",,,-29%
"Коктейль ЧУДО молочный шоколад 3%, 0,2 л ",,,
"Кекс «Маффин с ванилином», 120 г",,,
"Донат Vanilla, 53 г ",,,
"Десерт АККОНД Тортимилка плюс, 200 г",72.99,86.99,-16%
Годовой запас напитков Черноголовка,,,
"Бурек с начинкой из вишни и творога, 0,1 кг ",,,
"Берлинер-брецель «Клубничка», 0,07 кг",,,
АБРИКОСЫ 1кг,,,
Сыр творожный PRESIDENT с прованскими травами 60% 120г ,,,
Сыр творожный PRESIDENT сливочный 62% 120г,,,
Сметана Президент 350г 30%,,,
Сметана Президент 350г 20%,,,
Сметана Президент 30% 180г,,,
Сахар коричневый Демерара АА Экстра 900г(ЮРК):12,234.99,324.99,-28%
"ПРД Масло подсолнечное БЛАГО раф/дез 1,8л(Благо):6",204.99,258.39,-21%
МАГНИТ Рис шлифованный Для плова 800/900г п/уп:6,99.99,129.99,-23%
ЛЮБЯТОВО Завтрак готов Хлопья кукуруз медов 250г(Келлогг):9,99.99,139.99,-29%
"Лапша корейская ДОШИРАК, Чан Рамён, 120г",59.99,79.99,-25%
"Коньяк BISQUIT ординарный четырехлетний VSOP 40% 0,7л",,,
"Коньяк BISQUIT ординарный трехлетний VS 40% 0,7л",,,
ДОШИРАК Лапша б/п Чан Рамён с острой говяд 120г(Доширак):20,59.99,79.99,-25%
"Джем РАТИБОР Клубника, 360г",139.99,179.99,-22%
"Джем РАТИБОР Вишня, 360г",139.99,179.99,-22%
"Джем РАТИБОР Абрикос, 360г",139.99,179.99,-22%
"Варенье РАТИБОР вишня, 360г",169.99,199.99,-15%
ECO/NEO-BOTANICA Хлебцы зл тв сыр/пр трав 75г фл/п(ТАКФ):18,57.99,84.99,-32%
AROMA DROP Aromatherapy Гель д/ст+конд 2в1 Жас/Вет 1000мл:6,199.99,319.99,-38%
"Пиво КРУШОВИЦЕ, светлое, фильтрованное, пастеризованное, 4,2%, 450мл",,,
"Пиво БАЛТИКА 3 светлое Классическое пастеризованное 4,8%, 1,3л",,,
"Пиво БАЛТИКА №3, Классическое, светлое, 4,8%, 0,5л",,,
"Пиво TONYS GARRET HARD Raspber-Peach, 4,6%, 0,4л",,,
"Пиво TONYS GARRET HARD Pomegranate, 6%, 0,4л",,,
"Пиво TONYS GARRET HARD Lemon, 4,6%, 0,4л",,,
"Пиво PLATINA LATINA, светлое, 4,7%, 0,4л",,,
"Пиво KRUSOVICE, светлое, 4,2%, 0,43л",,,
"Пиво KRUSOVICE CERNE, темное, 4,1%, 0,43л",,,
"Пиво GREENBEAT, светлое, 4,6%, 0,45л",,,
"Пиво GREENBEAT, светлое, 4,6%, 0,45л",,,
"Пиво GREENBEAT MIX Mango Passion fruit, 6%, 0,45л",,,
"Настойка СИББИТЕР 38% Специи и травы 0,5 л",,,
"Настойка ГРАФ ЛЕДОФФ десерт Вишня 20%, 0,5л",,,
"Настойка горькая СИББИТТЕР, Кедровая, выдержанная, 38%, 0,5л",,,
"Настойка горькая ГРАФ ЛЕДОФФ, Клюква-гуава, 40%, 0,5л",,,
Напиток пивной ДОКТОР ДИЗЕЛЬ Манго-красный апельсин 6%,,,
Напиток пивной ДОКТОР ДИЗЕЛЬ Вишня-персик 6%,,,
"Молоко ВКУСНОТЕЕВО, ультрапастеризованное, 3,2%, 900г",93.99,122.99,-24%
"Молоко ВКУСНОТЕЕВО, ультрапастеризованное, 2,5%, 900г",89.99,118.99,-24%
"Мед липовый БАШКИРХАН, 1 штука (Берестов А.С.), 500г",589.99,799.99,-26%
"Мед гречишный БЕРЕСТОВ А.С., Алтайцвет, 500г",449.99,569.99,-21%
"Коньяк СТАРЫЙ КЕНИГСБЕРГ, Российский, 5-летний, 40%, 0,5л",,,
"Коньяк СТАРЫЙ КЕНИГСБЕРГ, Российский 4-летний, 40%, 0,5л",,,
"Коньяк СТАРЫЙ КЕНИГСБЕРГ, 40%, КВ, 0,5л",,,
"Водка ТУНДРА Северная морошка особая 40%, 0,5л",,,
"Водка РУССКИЙ СТАНДАРТ, 40%, 1л",,,
"Водка РУССКИЙ СТАНДАРТ, 40%, 0,5л",,,
"Водка ПЯТЬ ОЗЕР, премиум,40%, 0,5л",,,
"Водка ПЯТЬ ОЗЕР, 40%, 0,5л",,,
"Водка КУПАВА ПРИРОДНАЯ 40% 0,5л",,,
"Водка КУПАВА МЯГКАЯ 40% 0,5л",,,
"Водка КУПАВА ЛЕСНАЯ 40% 0,5л",,,
"Водка ЗЕЛЕНАЯ МАРКА березовая 38% 0,5л",,,
"Водка ГРАФ ЛЕДОФФ, Лайт гуала, 40%, 0,5л",,,
"Водка TUNDRA МОРОЗНЫЙ МОЖЖЕВЕЛЬНИК 40% 0,5л",,,
"Водка TUNDRA AUTHENTIC, 40%, 0,5л",,,
"Водка REMESLO 40% 0,5л",,,
"Виски СКОТЧ ТЕРЬЕР, купажированный, 40%, 0,7л",,,
"Виски СКОРЧ ТЕРЬЕР, 40%, 0,5л",,,
"Виски ДЭРРОУ 40% 0,7л",,,
"Виски HOLY GUN Бурбон 40% 0,7л",,,
БЕРЕСТОВ А.С. Мед Таёжный лекарь 360г п/б(ЧП Берестова):6,269.99,369.99,-27%
БЕРЕСТОВ А.С.Мед Майский Алтайцвет 500г с/б(ЧП Берестова):6,399.99,539.99,-26%
SEN SOY Вермишель Фунчоза под кит устр соус 125г(Состра):12,189.99,224.99,-16%
POMATO Соус Песто Зелен с базил/олив масл 190г(Мистраль):12,209.99,309.99,-32%
HOCHLAND Сыр плавл сливочный пл/ван 400г (Хохланд):6,279.99,329.99,-15%
FUNDELINA паста со вкусом лес ореха и банана350г ст/бан:6/12,299.99,379.99,-21%
"DIAL-EXPORT Масло хлопков раф дез 0,5л с/б(Вкусы здоровья):6",179.99,217.39,-17%
"ATTACHE Конф суфле брауни/итальянский десерт(в)(Невский):4,5",34.99,42.09,-17%
РОЛЛТОН Картофельное пюре 40г со вкусом 4 сыра пл/ст:24,44.99,54.99,-18%
"Набор конфет БАБАЕВСКИЙ, Ассорти, 300г",299.99,508.99,-41%
"КОРОВКА рулет вар.сгущенка 0,2кг(Объединенные кондитеры):15",92.99,109.19,-15%
КОРКУНОВ Ореховая коллекция шок конф 165г к/уп(Марс):10,279.99,517.99,-46%
КОРКУНОВ Конфеты Ассорти молоч 165г к/уп(Марс):10,279.99,517.99,-46%
"Конфеты шоколадные МЕРСИ, Ассорти, 400г",689.99,939.99,-27%
"Конфеты МЕРСИ, молочный шоколад, 250г",369.99,494.99,-25%
ДОМИК В ДЕРЕВНЕ Сливки стер 20% 480г ТБА(ВБД):12,209.99,269.99,-22%
ДОМИК В ДЕРЕВНЕ Сливки стер 20% 200г ТБА (ВБД) :18,94.99,119.99,-21%
ДЖАЗ Фисташки жареные соленые 130г д/п:8,299.99,396.99,-24%
БАЛТИЙСКИЙ БЕРЕГ Салат Чука морск кап с орех 250г пл/бан:6,119.99,159.99,-25%
"NEMOLOKO Напиток овс шок 0,2л т/пак(Сады Придонья):14",29.99,39.99,-25%
MERCI Шоколадные конфеты 675г(Шторк):6,1299.99,1889.99,-31%
MERCI Шок конфеты Горький шоколад 250г(Шторк) :10,369.99,494.99,-25%
MERCI Конф в кор ассорти шок мусс 210г к/уп (Storck):10,369.99,494.99,-25%
MERCI Ассорти миндаль 250 г(Шторк) :10,369.99,494.99,-25%
HOCHLAND Сыр плавл Ассорт классич трио 140г к/уп:10,104.99,129.99,-19%
"Плов/Булгур/Кускус ГОТОВО!, в ассортименте, 250г",109.99,159.99,-31%
"Масло сливочное КУБАНСКИЙ МОЛОЧНИК, 72,5%, 170г",149.99,179.99,-17%
"Масло подсолнечное АЛЬТЭРО, Vitality рафинированное, 810мл Виталити",149.99,229.99,-35%
"КУБАНСКИЙ МОЛОЧК Творог Уманский обезж0,18кг фл/п (ЛенСК):12",64.99,73.99,-12%
"Конфеты ПЕТУШОК-ЗОЛОТОЙ ГРЕБЕШОК, 250г ",179.99,359.99,-50%
Конфеты Золотое собрание вкусов 250г фл/п(Рот Фрон):8,134.99,229.99,-41%
ГОТОВО! Суп: По-итальянск200г/Рассольн170г/Борщ 130г Микс:12,119.99,177.99,-33%
SEN SOY ПремНаб Салат фунчоза по-кор210г п/уп(Состра-рус):6,179.99,244.99,-27%
"ROYAL CANE Топпинг шоколад 0,5л пл/бут(Роял Кейн):6",199.99,264.99,-25%
"ROYAL CANE Топпинг белый шоколад 0,5л пл/бут(Роял Кейн):6",259.99,339.99,-24%
MR.RICCO Соус Чесночный 210г д/п (КЖК):16,79.99,104.99,-24%
MR.RICCO Соус Сырный 210г д/п (КЖК):16,79.99,104.99,-24%
MR.RICCO Соус Грибной 210г д/п (КЖК):16,79.99,104.99,-24%
MR.RICCO Масло с доб масла авокадо 1л пл/бут(КазанскийЖК):15,129.99,162.99,-20%
MR.RICCO Масло подс раф с доб олив 1л пл/бут(КазанскийЖК):15,129.99,162.99,-20%
MR.RICCO Масло подс раф дез с экст сицил апел 1л(Нэфис):15,129.99,163.99,-21%
MR.RICCO Масло подсол раф дез с экстр черного чеснока 1л,129.99,163.99,-21%
MR.RICCO Масло подсол раф дез с экстр Прованские травы 1л,129.99,162.99,-20%
MIEL DE LAMOUR Крем мед с клубникой 250г ст/б(Пчельник):10,249.99,379.99,-34%
BRAVOLLI!Смесь круп киноа булгур 350г п/уп(ТД Ярмарка):6,239.99,302.99,-21%
BRAVOLLI! Смесь 4 риса 350г п/уп(ТД Ярмарка):6,129.99,189.99,-32%
BRAVOLLI! Нут 350г п/уп(ТД Ярмарка):6,104.99,154.99,-32%
BRAVOLLI! Булгур 350г м/уп(ТД Ярмарка):6,89.99,139.99,-36%
AMBASSADOR PLATINUM Crema Кофе в зёрнах 200г стаб/бэг:12,249.99,427.99,-42%
"ALTERO Масло подсолн с доб миндального 0,81л пл/бут(ЭФКО):15",139.99,228.99,-39%
"РИЕТ ИЗ ЛОСОСЯ с мягким творогом (Меридиан), 100г",109.99,159.99,-31%
"Молоко АГУША, стерилизованное, 3,2%, 500мл",69.99,89.99,-22%
"МАМИНА ДАЧА Сок яблочный осветл 0,75л ст/бут(Меркурий):6",129.99,154.99,-16%
КИРИЕШКИ Сухарики холодец/бекон/ветчина 40г(КДВ):60,14.99,17.99,-17%
КИРИЕШКИ Сухарики холодец/бекон/ветчина 100г(КДВ):28,36.99,43.99,-16%
ЗОЛОТАЯ FISHKA Сельдь атлант ф/кус лук в/масл400г пл/бан:4,179.99,219.99,-18%
ЗОЛОТАЯ FISHKA АКВАТОРИИ Сельдь подкоп ф/кус 400г пл/бан:4,179.99,219.99,-18%
"ГОРЬК ПИВОВАРНЯ AMERICAN AMBER LAGER Пиво св ф5,2%0,44с/б:20",79.99,109.99,-27%
GREEN MILK Напиток соевый Банан 1л т/пак (Союзпищепром):12,109.99,169.99,-35%
GREEN MILK Напиток Раст Миндаль 1л т/пак (Союзпищепром):12,114.99,199.99,-43%
GREEN MILK Напиток Раст Кокос 1л т/пак (Союзпищепром):12,109.99,169.99,-35%
FANTOLA Шок мол Bubble gum/ печенье 66г:12,69.99,114.99,-39%
FANTOLA Шок мол Blue malina/ печенье 66г:12,69.99,114.99,-39%
BEERKA Тунец сушено-вяленый соломка 70г фл/пак:20,144.99,177.99,-19%
"BARINOFF Сок яблочный восстан 0,25л ст/бут(Меркурий):12",54.99,71.99,-24%
"BARINOFF Нектар шиповник 0,33л ст/бут(Меркурий):10",54.99,64.99,-15%
3КОРОЧКИ Cухарики рж Сёмга с сыр/соус Тартар 85г ф/п(КДВ):18,39.99,47.99,-17%
"Чипсы РУССКАЯ КАРТОШКА курица, 80г",,,
Чай ЛИСМА Крепкий 25пакетиков,,,
"Чай БЕСЕДА черный, отборный, классический, 100пакетиков",,,
"Чай AZERCAY черный, с ароматом бергамота, 25пакетиков",,,
Хлопья овсяные МАГНИТ Экстра 400г,,,
Хлопья МАГНИТ 5 злаков 400г,,,
Товар для пикника за 1 ₽ при покупке свиного шашлыка,,,
Суп YELLI чечевичный в ассортименте 250г,,,
Соус MIVIMEX кавказский чили 200г,,,
"Печенье LUCKY DAYS, сахарное с семенами подсолнечника и кунжута, 445г",,,
"Пельмени МИРАТОРГ Классические 0,7 кг",,,
"Наполнитель впитывающий SMART/TAFI, 5л",,,
Мыло ДЕТСКОЕ для всей семьи 200г,,,
"Мука УВЕЛКА, 2 кг",,,
"Молоко сгущенное Магнит, цельное с сахаром, 360г",,,
"Молоко сгущенное КОРОВКА ИЗ КОРЕНОВКИ, ГОСТ, 8,5%, 360г",,,
"Масло подсолнечное СЛОБОДА рафинированное, для жарки, 1л",,,
"Масло подсолнечное ПОДОБЕДОВ, холодного отжима, нерафинированное, 0,5л",,,
"Масло подсолнечное БЛАГО с добавлением кукурузного, 0,9 л",129.99,179.99,-28%
"Мармелад БОН ПАРИ кислые червячки, жевательные фигурки со вкусом фруктов",,,
"Макароны MAKFA виток, 450г",,,
Макароны FOODY с сырным соусом чеддер 143г,,,
"Кукурузные палочки КУЗЯ ЛАКОМКИН в сахарной пудре, 140г",,,
Крупа MAKFA гречневая ядрица экстра 400г,,,
Крем для рук БАРХАТНЫЕ РУЧКИ питательный 80мл,,,
"Кофе NESCAFE Classic натуральный, растворимый, 60г",,,
"Корм для кошек PURINA ONE сухой, для стерилизованных кошек, говядина/пшеница, 750г",,,
"Зубная паста SPLAT Professional, Лечебные травы, 100мл",,,
"Зубная паста COLGATE Тотал 12, Профессиональная, отбеливающая, 75мл",,,
Гречка ядрица УВЕЛКА Экстра 800г,,,
"Вода минеральная ЛЕГЕНДА ГОР АРХЫЗ природная, столовая, питьевая, 1,5л",,,
"ОХОТА Крепкое Пиво свет фильтр 8,1% 0,43л ж/б(ОПХ):24",59.99,69.99,-14%
ЛЮБЯТОВО Шарики и звездочки медовые 420г фл/п(Келлогг Рус):6,179.99,258.99,-31%
ЛЮБЯТОВО Хлопья кукурузные 600г ф/п(Келлогг Рус):7,179.99,247.99,-27%
ЛЮБЯТОВО Хлопья кукурузные 300г ф/п(Келлогг Рус):12,104.99,131.99,-20%
ЛЮБЯТОВО Подушечки с шоколад нач 220г к/у(Келлогг Рус):9,89.99,149.99,-40%
ЛЮБЯТОВО Подушечки с молочной нач 220г к/у(Келлогг Рус):9,89.99,149.99,-40%
ЛЮБЯТОВО Подушечки с банановой нач220г к/уп(Келлог Рус):9,99.99,140.19,-29%
MILKA Печенье Choco Moo 200г пищ/пл(Монделис) :16,189.99,254.99,-25%
MILKA Печенье Choco Cookie 168/126г ( Монделиз) :16,179.99,254.99,-29%
KNORR ЧАШКА СУПА Харчо с сухариками 14г (Юнилевер Русь) :30,27.99,32.99,-15%
"KNORR Чашка Супа Сырный с сухариками 15,6г (Юнилевер) :30",27.99,32.99,-15%
KNORR ЧАШКА СУПА Суп Горох с сухар 21г(Юнилевер Русь):30,27.99,32.99,-15%
KNORR Чашка Супа Куриный с сухариками 16г (Юнилевер) :30,27.99,32.99,-15%
"KNORR Чашка Супа Грибной с сухар. 15,5г (Юнилевер Русь):30",27.99,32.99,-15%
KNORR Смесь сухая Картошка по-деревенски 28г (Юнилевер):8/48,74.99,89.99,-17%
KNORR НА ВТОРОЕ Смесь цезарь по-дом с сух 30г ф/п(Юнилев):15,74.99,89.99,-17%
KNORR Крем-суп грибной по-франц 49г сашет(Юнилевер):21,72.99,88.99,-18%
KNORR Конц д/приг суп сыр крем-суп по-франц 48г(Юнилевер):21,74.99,88.99,-16%
KELLOGGS UNICORN Радужные колечки с фрукт вкусом 375г фл/п:9,209.99,342.89,-39%
KELLOGGS Unicorn Подушечки с фруктовым вкусом 200г:9,149.99,231.49,-35%
KELLOGGS DINOSAURS Гот завтр Шоколадно-бананов Микс 200г:10,129.99,198.09,-34%
GOODIES Подушечки со сгущенным молоком 220г к/уп(Витьба):8,99.99,183.99,-46%
CHOCOZAVR Подушечки шоколад и фунд 220г к/уп(Келлогг Рус):9,149.99,216.49,-31%
CARTE NOIRE Кофе натур жар молотый 230г м/у(ЯКОБС):9,399.99,813.99,-51%
CARTE NOIRE Original Кофе натур зерновой 230г(Якобс Рус):9,399.99,817.99,-51%
CARTE NOIRE Crema delice Кофе натур жар молотый 230г:9,399.99,808.99,-51%
"CAESAR Пельмени Elite отборн говядина 0,700кг (Морозко):12",179.99,399.99,-55%
ПРД Масло подсолнечное MR.RICCO раф/дезодор 1л:15,109.99,154.99,-29%
ГУДВИЛЛ Хлопья Греч н/треб/вар б/доб400г п/уп(Алтай круп):18,72.99,94.09,-22%
ГУДВИЛЛ Хлопья геркулес 450г пэ/п(Алтайская крупа):18,59.99,71.99,-17%
ВИТЭКС Термальная линия Крем-бальзам д/тела 200мл(Витэкс):10,209.99,249.99,-16%
ВИТЭКС Термальная линия Вода д/лица освеж 150мл(Витэкс):12,167.99,199.99,-16%
ВИТЭКС Lift Intense Сливки д/тела 200мл(Витэкс):10,218.99,259.99,-16%
SKIN PLANET Маска ткан д/л с экстр женьшен 25г(Mijin):10/360,29.99,36.99,-19%
SKIN79 Тканевая маска д/лица успокаивающая20г(Мираер):10/400,78.99,94.99,-17%
SKIN79 Тканевая маска д/лица увлажняющая 20г(Мираер):10/400,74.99,89.99,-17%
ROROBEE Маска для ног мягкий пиллинг 30г(Мираеро):10/240,319.99,379.99,-16%
